,Party,https://www.govtrack.us/congress/votes/77-1941/s1,https://www.govtrack.us/congress/votes/77-1941/s2,https://www.govtrack.us/congress/votes/77-1941/s3,https://www.govtrack.us/congress/votes/77-1941/s4,https://www.govtrack.us/congress/votes/77-1941/s5,https://www.govtrack.us/congress/votes/77-1941/s6,https://www.govtrack.us/congress/votes/77-1941/s7,https://www.govtrack.us/congress/votes/77-1941/s8,https://www.govtrack.us/congress/votes/77-1941/s9,https://www.govtrack.us/congress/votes/77-1941/s10,https://www.govtrack.us/congress/votes/77-1941/s11,https://www.govtrack.us/congress/votes/77-1941/s12,https://www.govtrack.us/congress/votes/77-1941/s13,https://www.govtrack.us/congress/votes/77-1941/s14,https://www.govtrack.us/congress/votes/77-1941/s15,https://www.govtrack.us/congress/votes/77-1941/s16,https://www.govtrack.us/congress/votes/77-1941/s17,https://www.govtrack.us/congress/votes/77-1941/s18,https://www.govtrack.us/congress/votes/77-1941/s19,https://www.govtrack.us/congress/votes/77-1941/s20,https://www.govtrack.us/congress/votes/77-1941/s21,https://www.govtrack.us/congress/votes/77-1941/s22,https://www.govtrack.us/congress/votes/77-1941/s23,https://www.govtrack.us/congress/votes/77-1941/s24,https://www.govtrack.us/congress/votes/77-1941/s25,https://www.govtrack.us/congress/votes/77-1941/s26,https://www.govtrack.us/congress/votes/77-1941/s27,https://www.govtrack.us/congress/votes/77-1941/s28,https://www.govtrack.us/congress/votes/77-1941/s29,https://www.govtrack.us/congress/votes/77-1941/s30,https://www.govtrack.us/congress/votes/77-1941/s31,https://www.govtrack.us/congress/votes/77-1941/s32,https://www.govtrack.us/congress/votes/77-1941/s33,https://www.govtrack.us/congress/votes/77-1941/s34,https://www.govtrack.us/congress/votes/77-1941/s35,https://www.govtrack.us/congress/votes/77-1941/s36,https://www.govtrack.us/congress/votes/77-1941/s37,https://www.govtrack.us/congress/votes/77-1941/s38,https://www.govtrack.us/congress/votes/77-1941/s39,https://www.govtrack.us/congress/votes/77-1941/s40,https://www.govtrack.us/congress/votes/77-1941/s41,https://www.govtrack.us/congress/votes/77-1941/s42,https://www.govtrack.us/congress/votes/77-1941/s43,https://www.govtrack.us/congress/votes/77-1941/s44,https://www.govtrack.us/congress/votes/77-1941/s45,https://www.govtrack.us/congress/votes/77-1941/s46,https://www.govtrack.us/congress/votes/77-1941/s47,https://www.govtrack.us/congress/votes/77-1941/s48,https://www.govtrack.us/congress/votes/77-1941/s49,https://www.govtrack.us/congress/votes/77-1941/s50,https://www.govtrack.us/congress/votes/77-1941/s51,https://www.govtrack.us/congress/votes/77-1941/s52,https://www.govtrack.us/congress/votes/77-1941/s53,https://www.govtrack.us/congress/votes/77-1941/s54,https://www.govtrack.us/congress/votes/77-1941/s55,https://www.govtrack.us/congress/votes/77-1941/s56,https://www.govtrack.us/congress/votes/77-1941/s57,https://www.govtrack.us/congress/votes/77-1941/s58,https://www.govtrack.us/congress/votes/77-1941/s59,https://www.govtrack.us/congress/votes/77-1941/s60,https://www.govtrack.us/congress/votes/77-1941/s61,https://www.govtrack.us/congress/votes/77-1941/s62,https://www.govtrack.us/congress/votes/77-1941/s63,https://www.govtrack.us/congress/votes/77-1941/s64,https://www.govtrack.us/congress/votes/77-1941/s65,https://www.govtrack.us/congress/votes/77-1941/s66,https://www.govtrack.us/congress/votes/77-1941/s67,https://www.govtrack.us/congress/votes/77-1941/s68,https://www.govtrack.us/congress/votes/77-1941/s69,https://www.govtrack.us/congress/votes/77-1941/s70,https://www.govtrack.us/congress/votes/77-1941/s71,https://www.govtrack.us/congress/votes/77-1941/s72,https://www.govtrack.us/congress/votes/77-1941/s73,https://www.govtrack.us/congress/votes/77-1941/s74,https://www.govtrack.us/congress/votes/77-1941/s75,https://www.govtrack.us/congress/votes/77-1941/s76,https://www.govtrack.us/congress/votes/77-1941/s77,https://www.govtrack.us/congress/votes/77-1941/s78,https://www.govtrack.us/congress/votes/77-1941/s79,https://www.govtrack.us/congress/votes/77-1941/s80,https://www.govtrack.us/congress/votes/77-1941/s81,https://www.govtrack.us/congress/votes/77-1941/s82,https://www.govtrack.us/congress/votes/77-1941/s83,https://www.govtrack.us/congress/votes/77-1941/s84,https://www.govtrack.us/congress/votes/77-1941/s85,https://www.govtrack.us/congress/votes/77-1941/s86,https://www.govtrack.us/congress/votes/77-1941/s87,https://www.govtrack.us/congress/votes/77-1941/s88,https://www.govtrack.us/congress/votes/77-1941/s89,https://www.govtrack.us/congress/votes/77-1941/s90,https://www.govtrack.us/congress/votes/77-1941/s91,https://www.govtrack.us/congress/votes/77-1941/s92,https://www.govtrack.us/congress/votes/77-1941/s93,https://www.govtrack.us/congress/votes/77-1941/s94,https://www.govtrack.us/congress/votes/77-1941/s95,https://www.govtrack.us/congress/votes/77-1941/s96,https://www.govtrack.us/congress/votes/77-1941/s97,https://www.govtrack.us/congress/votes/77-1941/s98
"Sen. Alexander Wiley [R, 1939-1962]",R,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,0.0,0.0,1.0,1.0,0.5,0.0,0.0,1.0,0.5,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
"Sen. James Mead [D, 1938-1946]",D,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.0,1.0,0.5,1.0,0.5,0.0,0.5,0.0,0.0,1.0,1,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.0,0.5,0.5,0.5,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
"Sen. Thomas “Tom” Connally [D, 1929-1952]",D,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5,0.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.5,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,1.0,0.0,1.0
"Sen. Harry Byrd [D, 1933-1965]",D,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,1.0,1.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
"Sen. Richard Russell Jr. [D, 1933-1971]",D,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.5,0.0,1.0,0.0,1.0,1.0,0.5,0.5,0.5,0.0,1.0,1,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,1.0,0.0,1.0,1.0,0.5,0.0,1.0,0.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1.0,1.0,0.5,0.5,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
"Sen. Arthur Vandenberg [R, 1928-1951]",R,0.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.0,0.0,1.0,1.0,0.0,0.5,0.5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"Sen. Henry “Harry” Schwartz [D, 1937-1942]",D,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"Sen. Peter Gerry [D, 1935-1946]",D,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.5,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
"Sen. Francis Maloney [D, 1935-1945]",D,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"Sen. Charles Brooks [R, 1940-1948]",R,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.5,0.5,0.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
