,Party,https://www.govtrack.us/congress/votes/77-1942/s99,https://www.govtrack.us/congress/votes/77-1942/s100,https://www.govtrack.us/congress/votes/77-1942/s101,https://www.govtrack.us/congress/votes/77-1942/s102,https://www.govtrack.us/congress/votes/77-1942/s103,https://www.govtrack.us/congress/votes/77-1942/s104,https://www.govtrack.us/congress/votes/77-1942/s105,https://www.govtrack.us/congress/votes/77-1942/s106,https://www.govtrack.us/congress/votes/77-1942/s107,https://www.govtrack.us/congress/votes/77-1942/s108,https://www.govtrack.us/congress/votes/77-1942/s109,https://www.govtrack.us/congress/votes/77-1942/s110,https://www.govtrack.us/congress/votes/77-1942/s111,https://www.govtrack.us/congress/votes/77-1942/s112,https://www.govtrack.us/congress/votes/77-1942/s113,https://www.govtrack.us/congress/votes/77-1942/s114,https://www.govtrack.us/congress/votes/77-1942/s115,https://www.govtrack.us/congress/votes/77-1942/s116,https://www.govtrack.us/congress/votes/77-1942/s117,https://www.govtrack.us/congress/votes/77-1942/s118,https://www.govtrack.us/congress/votes/77-1942/s119,https://www.govtrack.us/congress/votes/77-1942/s120,https://www.govtrack.us/congress/votes/77-1942/s121,https://www.govtrack.us/congress/votes/77-1942/s122,https://www.govtrack.us/congress/votes/77-1942/s123,https://www.govtrack.us/congress/votes/77-1942/s124,https://www.govtrack.us/congress/votes/77-1942/s125,https://www.govtrack.us/congress/votes/77-1942/s126,https://www.govtrack.us/congress/votes/77-1942/s127,https://www.govtrack.us/congress/votes/77-1942/s128,https://www.govtrack.us/congress/votes/77-1942/s129,https://www.govtrack.us/congress/votes/77-1942/s130,https://www.govtrack.us/congress/votes/77-1942/s131,https://www.govtrack.us/congress/votes/77-1942/s132,https://www.govtrack.us/congress/votes/77-1942/s133,https://www.govtrack.us/congress/votes/77-1942/s134,https://www.govtrack.us/congress/votes/77-1942/s135,https://www.govtrack.us/congress/votes/77-1942/s136,https://www.govtrack.us/congress/votes/77-1942/s137,https://www.govtrack.us/congress/votes/77-1942/s138,https://www.govtrack.us/congress/votes/77-1942/s139,https://www.govtrack.us/congress/votes/77-1942/s140,https://www.govtrack.us/congress/votes/77-1942/s141,https://www.govtrack.us/congress/votes/77-1942/s142,https://www.govtrack.us/congress/votes/77-1942/s143,https://www.govtrack.us/congress/votes/77-1942/s144,https://www.govtrack.us/congress/votes/77-1942/s145,https://www.govtrack.us/congress/votes/77-1942/s146,https://www.govtrack.us/congress/votes/77-1942/s147,https://www.govtrack.us/congress/votes/77-1942/s148,https://www.govtrack.us/congress/votes/77-1942/s149,https://www.govtrack.us/congress/votes/77-1942/s150,https://www.govtrack.us/congress/votes/77-1942/s151,https://www.govtrack.us/congress/votes/77-1942/s152,https://www.govtrack.us/congress/votes/77-1942/s153,https://www.govtrack.us/congress/votes/77-1942/s154,https://www.govtrack.us/congress/votes/77-1942/s155,https://www.govtrack.us/congress/votes/77-1942/s156,https://www.govtrack.us/congress/votes/77-1942/s157,https://www.govtrack.us/congress/votes/77-1942/s158,https://www.govtrack.us/congress/votes/77-1942/s159,https://www.govtrack.us/congress/votes/77-1942/s160,https://www.govtrack.us/congress/votes/77-1942/s161,https://www.govtrack.us/congress/votes/77-1942/s162,https://www.govtrack.us/congress/votes/77-1942/s163,https://www.govtrack.us/congress/votes/77-1942/s164,https://www.govtrack.us/congress/votes/77-1942/s165,https://www.govtrack.us/congress/votes/77-1942/s166,https://www.govtrack.us/congress/votes/77-1942/s167,https://www.govtrack.us/congress/votes/77-1942/s168,https://www.govtrack.us/congress/votes/77-1942/s169,https://www.govtrack.us/congress/votes/77-1942/s170,https://www.govtrack.us/congress/votes/77-1942/s171,https://www.govtrack.us/congress/votes/77-1942/s172,https://www.govtrack.us/congress/votes/77-1942/s173,https://www.govtrack.us/congress/votes/77-1942/s174,https://www.govtrack.us/congress/votes/77-1942/s175,https://www.govtrack.us/congress/votes/77-1942/s176,https://www.govtrack.us/congress/votes/77-1942/s177,https://www.govtrack.us/congress/votes/77-1942/s178,https://www.govtrack.us/congress/votes/77-1942/s179,https://www.govtrack.us/congress/votes/77-1942/s180,https://www.govtrack.us/congress/votes/77-1942/s181,https://www.govtrack.us/congress/votes/77-1942/s182,https://www.govtrack.us/congress/votes/77-1942/s183,https://www.govtrack.us/congress/votes/77-1942/s184,https://www.govtrack.us/congress/votes/77-1942/s185,https://www.govtrack.us/congress/votes/77-1942/s186,https://www.govtrack.us/congress/votes/77-1942/s187,https://www.govtrack.us/congress/votes/77-1942/s188,https://www.govtrack.us/congress/votes/77-1942/s189,https://www.govtrack.us/congress/votes/77-1942/s190,https://www.govtrack.us/congress/votes/77-1942/s191,https://www.govtrack.us/congress/votes/77-1942/s192
"Sen. James Mead [D, 1938-1946]",D,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.5,1.0,0.0,0.5,1.0,1.0,0.5,1.0,1.0,0.0,1.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,1.0,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,1.0,0.0,1.0,0.5,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
"Sen. Thomas “Tom” Connally [D, 1929-1952]",D,0.0,1.0,1.0,1.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
"Sen. Harry Byrd [D, 1933-1965]",D,1.0,0.0,0.0,1.0,0.5,1.0,0.5,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.5,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.5,0.5
"Sen. Richard Russell Jr. [D, 1933-1971]",D,0.0,1.0,1.0,1.0,0.0,1.0,0.5,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5,0.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.0,0.5,0.5,0.5,0.5,0.5,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
"Sen. Arthur Vandenberg [R, 1928-1951]",R,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.5,0.0,0.5,0.5,0.5,0.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.5,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
"Sen. Henry “Harry” Schwartz [D, 1937-1942]",D,0.0,1.0,1.0,1.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.0,1.0,1.0
"Sen. Peter Gerry [D, 1935-1946]",D,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.5,0.5,1.0,1.0,0.5,0.5,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"Sen. Francis Maloney [D, 1935-1945]",D,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5,0.5,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.5,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,0.0,0.0
"Sen. Charles Brooks [R, 1940-1948]",R,0.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.0,1.0,0.5,0.5,0.5,1.0,1.0,0.5,0.5,0.5,0.5,0.0,0.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.0,0.0
"Sen. James Murray [D, 1934-1960]",D,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1.0,0.0
"Sen. Joshua Lee [D, 1937-1942]",D,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5,0.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.0,1.0,0.0
