,Party,https://www.govtrack.us/congress/votes/82-1952/s201,https://www.govtrack.us/congress/votes/82-1952/s202,https://www.govtrack.us/congress/votes/82-1952/s203,https://www.govtrack.us/congress/votes/82-1952/s204,https://www.govtrack.us/congress/votes/82-1952/s205,https://www.govtrack.us/congress/votes/82-1952/s206,https://www.govtrack.us/congress/votes/82-1952/s207,https://www.govtrack.us/congress/votes/82-1952/s208,https://www.govtrack.us/congress/votes/82-1952/s209,https://www.govtrack.us/congress/votes/82-1952/s210,https://www.govtrack.us/congress/votes/82-1952/s211,https://www.govtrack.us/congress/votes/82-1952/s212,https://www.govtrack.us/congress/votes/82-1952/s213,https://www.govtrack.us/congress/votes/82-1952/s214,https://www.govtrack.us/congress/votes/82-1952/s215,https://www.govtrack.us/congress/votes/82-1952/s216,https://www.govtrack.us/congress/votes/82-1952/s217,https://www.govtrack.us/congress/votes/82-1952/s218,https://www.govtrack.us/congress/votes/82-1952/s219,https://www.govtrack.us/congress/votes/82-1952/s220,https://www.govtrack.us/congress/votes/82-1952/s221,https://www.govtrack.us/congress/votes/82-1952/s222,https://www.govtrack.us/congress/votes/82-1952/s223,https://www.govtrack.us/congress/votes/82-1952/s224,https://www.govtrack.us/congress/votes/82-1952/s225,https://www.govtrack.us/congress/votes/82-1952/s226,https://www.govtrack.us/congress/votes/82-1952/s227,https://www.govtrack.us/congress/votes/82-1952/s228,https://www.govtrack.us/congress/votes/82-1952/s229,https://www.govtrack.us/congress/votes/82-1952/s230,https://www.govtrack.us/congress/votes/82-1952/s231,https://www.govtrack.us/congress/votes/82-1952/s232,https://www.govtrack.us/congress/votes/82-1952/s233,https://www.govtrack.us/congress/votes/82-1952/s234,https://www.govtrack.us/congress/votes/82-1952/s235,https://www.govtrack.us/congress/votes/82-1952/s236,https://www.govtrack.us/congress/votes/82-1952/s237,https://www.govtrack.us/congress/votes/82-1952/s238,https://www.govtrack.us/congress/votes/82-1952/s239,https://www.govtrack.us/congress/votes/82-1952/s240,https://www.govtrack.us/congress/votes/82-1952/s241,https://www.govtrack.us/congress/votes/82-1952/s242,https://www.govtrack.us/congress/votes/82-1952/s243,https://www.govtrack.us/congress/votes/82-1952/s244,https://www.govtrack.us/congress/votes/82-1952/s245,https://www.govtrack.us/congress/votes/82-1952/s246,https://www.govtrack.us/congress/votes/82-1952/s247,https://www.govtrack.us/congress/votes/82-1952/s248,https://www.govtrack.us/congress/votes/82-1952/s249,https://www.govtrack.us/congress/votes/82-1952/s250,https://www.govtrack.us/congress/votes/82-1952/s251,https://www.govtrack.us/congress/votes/82-1952/s252,https://www.govtrack.us/congress/votes/82-1952/s253,https://www.govtrack.us/congress/votes/82-1952/s254,https://www.govtrack.us/congress/votes/82-1952/s255,https://www.govtrack.us/congress/votes/82-1952/s256,https://www.govtrack.us/congress/votes/82-1952/s257,https://www.govtrack.us/congress/votes/82-1952/s258,https://www.govtrack.us/congress/votes/82-1952/s259,https://www.govtrack.us/congress/votes/82-1952/s260,https://www.govtrack.us/congress/votes/82-1952/s261,https://www.govtrack.us/congress/votes/82-1952/s262,https://www.govtrack.us/congress/votes/82-1952/s263,https://www.govtrack.us/congress/votes/82-1952/s264,https://www.govtrack.us/congress/votes/82-1952/s265,https://www.govtrack.us/congress/votes/82-1952/s266,https://www.govtrack.us/congress/votes/82-1952/s267,https://www.govtrack.us/congress/votes/82-1952/s268,https://www.govtrack.us/congress/votes/82-1952/s269,https://www.govtrack.us/congress/votes/82-1952/s270,https://www.govtrack.us/congress/votes/82-1952/s271,https://www.govtrack.us/congress/votes/82-1952/s272,https://www.govtrack.us/congress/votes/82-1952/s273,https://www.govtrack.us/congress/votes/82-1952/s274,https://www.govtrack.us/congress/votes/82-1952/s275,https://www.govtrack.us/congress/votes/82-1952/s276,https://www.govtrack.us/congress/votes/82-1952/s277,https://www.govtrack.us/congress/votes/82-1952/s278,https://www.govtrack.us/congress/votes/82-1952/s279,https://www.govtrack.us/congress/votes/82-1952/s280,https://www.govtrack.us/congress/votes/82-1952/s281,https://www.govtrack.us/congress/votes/82-1952/s282,https://www.govtrack.us/congress/votes/82-1952/s283,https://www.govtrack.us/congress/votes/82-1952/s284,https://www.govtrack.us/congress/votes/82-1952/s285,https://www.govtrack.us/congress/votes/82-1952/s286,https://www.govtrack.us/congress/votes/82-1952/s287,https://www.govtrack.us/congress/votes/82-1952/s288,https://www.govtrack.us/congress/votes/82-1952/s289,https://www.govtrack.us/congress/votes/82-1952/s290,https://www.govtrack.us/congress/votes/82-1952/s291,https://www.govtrack.us/congress/votes/82-1952/s292,https://www.govtrack.us/congress/votes/82-1952/s293,https://www.govtrack.us/congress/votes/82-1952/s294,https://www.govtrack.us/congress/votes/82-1952/s295,https://www.govtrack.us/congress/votes/82-1952/s296,https://www.govtrack.us/congress/votes/82-1952/s297,https://www.govtrack.us/congress/votes/82-1952/s298,https://www.govtrack.us/congress/votes/82-1952/s299,https://www.govtrack.us/congress/votes/82-1952/s300,https://www.govtrack.us/congress/votes/82-1952/s301,https://www.govtrack.us/congress/votes/82-1952/s302,https://www.govtrack.us/congress/votes/82-1952/s303,https://www.govtrack.us/congress/votes/82-1952/s304,https://www.govtrack.us/congress/votes/82-1952/s305,https://www.govtrack.us/congress/votes/82-1952/s306,https://www.govtrack.us/congress/votes/82-1952/s307,https://www.govtrack.us/congress/votes/82-1952/s308,https://www.govtrack.us/congress/votes/82-1952/s309,https://www.govtrack.us/congress/votes/82-1952/s310,https://www.govtrack.us/congress/votes/82-1952/s311,https://www.govtrack.us/congress/votes/82-1952/s312,https://www.govtrack.us/congress/votes/82-1952/s313
"Sen. Frank Carlson [R, 1950-1968]",R,0.0,0.5,0.5,0.5,0.5,1.0,0.0,1.0,0.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,0.0,0.5,0.5,1.0,0.5,0.0,0.5,0.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"Sen. Arthur Moody [D, 1951-1952]",D,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.5,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
"Sen. Francis Case [R, 1951-1962]",R,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.5,0.5,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.5,1.0,1.0
"Sen. Burnet Maybank [D, 1941-1954]",D,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.5,0.0,0.5,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
"Sen. John Bricker [R, 1947-1958]",R,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,0.5
"Sen. Joseph Hill [D, 1938-1968]",D,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
"Sen. Wayne Morse [I, 1945-1968]",I,0.5,1.0,1.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
"Sen. Joseph McCarthy [R, 1947-1957]",R,0.5,1.0,0.5,0.5,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,0.5,0.0,1.0,0.5,0.5,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.0,0.0,1.0,0.5,0.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,0.0,1.0
"Sen. Eugene Millikin [R, 1941-1956]",R,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"Sen. George Smathers [D, 1951-1968]",D,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
"Sen. Robert Hendrickson [R, 1949-1954]",R,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.5
"Sen. Ralph Brewster [R, 1941-1952]",R,0.5,1.0,0.5,1.0,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1.0,0.5,0.5,0.5
"Sen. Frederick Seaton [R, 1951-1952]",R,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,0.5,0.5,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.5,0.5,0.5
