,Party,https://www.govtrack.us/congress/votes/78-1944/s123,https://www.govtrack.us/congress/votes/78-1944/s124,https://www.govtrack.us/congress/votes/78-1944/s125,https://www.govtrack.us/congress/votes/78-1944/s126,https://www.govtrack.us/congress/votes/78-1944/s127,https://www.govtrack.us/congress/votes/78-1944/s128,https://www.govtrack.us/congress/votes/78-1944/s129,https://www.govtrack.us/congress/votes/78-1944/s130,https://www.govtrack.us/congress/votes/78-1944/s131,https://www.govtrack.us/congress/votes/78-1944/s132,https://www.govtrack.us/congress/votes/78-1944/s133,https://www.govtrack.us/congress/votes/78-1944/s134,https://www.govtrack.us/congress/votes/78-1944/s135,https://www.govtrack.us/congress/votes/78-1944/s136,https://www.govtrack.us/congress/votes/78-1944/s137,https://www.govtrack.us/congress/votes/78-1944/s138,https://www.govtrack.us/congress/votes/78-1944/s139,https://www.govtrack.us/congress/votes/78-1944/s140,https://www.govtrack.us/congress/votes/78-1944/s141,https://www.govtrack.us/congress/votes/78-1944/s142,https://www.govtrack.us/congress/votes/78-1944/s143,https://www.govtrack.us/congress/votes/78-1944/s144,https://www.govtrack.us/congress/votes/78-1944/s145,https://www.govtrack.us/congress/votes/78-1944/s146,https://www.govtrack.us/congress/votes/78-1944/s147,https://www.govtrack.us/congress/votes/78-1944/s148,https://www.govtrack.us/congress/votes/78-1944/s149,https://www.govtrack.us/congress/votes/78-1944/s150,https://www.govtrack.us/congress/votes/78-1944/s151,https://www.govtrack.us/congress/votes/78-1944/s152,https://www.govtrack.us/congress/votes/78-1944/s153,https://www.govtrack.us/congress/votes/78-1944/s154,https://www.govtrack.us/congress/votes/78-1944/s155,https://www.govtrack.us/congress/votes/78-1944/s156,https://www.govtrack.us/congress/votes/78-1944/s157,https://www.govtrack.us/congress/votes/78-1944/s158,https://www.govtrack.us/congress/votes/78-1944/s159,https://www.govtrack.us/congress/votes/78-1944/s160,https://www.govtrack.us/congress/votes/78-1944/s161,https://www.govtrack.us/congress/votes/78-1944/s162,https://www.govtrack.us/congress/votes/78-1944/s163,https://www.govtrack.us/congress/votes/78-1944/s164,https://www.govtrack.us/congress/votes/78-1944/s165,https://www.govtrack.us/congress/votes/78-1944/s166,https://www.govtrack.us/congress/votes/78-1944/s167,https://www.govtrack.us/congress/votes/78-1944/s168,https://www.govtrack.us/congress/votes/78-1944/s169,https://www.govtrack.us/congress/votes/78-1944/s170,https://www.govtrack.us/congress/votes/78-1944/s171,https://www.govtrack.us/congress/votes/78-1944/s172,https://www.govtrack.us/congress/votes/78-1944/s173,https://www.govtrack.us/congress/votes/78-1944/s174,https://www.govtrack.us/congress/votes/78-1944/s175,https://www.govtrack.us/congress/votes/78-1944/s176,https://www.govtrack.us/congress/votes/78-1944/s177,https://www.govtrack.us/congress/votes/78-1944/s178,https://www.govtrack.us/congress/votes/78-1944/s179,https://www.govtrack.us/congress/votes/78-1944/s180,https://www.govtrack.us/congress/votes/78-1944/s181,https://www.govtrack.us/congress/votes/78-1944/s182,https://www.govtrack.us/congress/votes/78-1944/s183,https://www.govtrack.us/congress/votes/78-1944/s184,https://www.govtrack.us/congress/votes/78-1944/s185,https://www.govtrack.us/congress/votes/78-1944/s186,https://www.govtrack.us/congress/votes/78-1944/s187,https://www.govtrack.us/congress/votes/78-1944/s188,https://www.govtrack.us/congress/votes/78-1944/s189,https://www.govtrack.us/congress/votes/78-1944/s190,https://www.govtrack.us/congress/votes/78-1944/s191,https://www.govtrack.us/congress/votes/78-1944/s192,https://www.govtrack.us/congress/votes/78-1944/s193,https://www.govtrack.us/congress/votes/78-1944/s194,https://www.govtrack.us/congress/votes/78-1944/s195,https://www.govtrack.us/congress/votes/78-1944/s196,https://www.govtrack.us/congress/votes/78-1944/s197,https://www.govtrack.us/congress/votes/78-1944/s198,https://www.govtrack.us/congress/votes/78-1944/s199,https://www.govtrack.us/congress/votes/78-1944/s200,https://www.govtrack.us/congress/votes/78-1944/s201,https://www.govtrack.us/congress/votes/78-1944/s202,https://www.govtrack.us/congress/votes/78-1944/s203,https://www.govtrack.us/congress/votes/78-1944/s204,https://www.govtrack.us/congress/votes/78-1944/s205,https://www.govtrack.us/congress/votes/78-1944/s206,https://www.govtrack.us/congress/votes/78-1944/s207,https://www.govtrack.us/congress/votes/78-1944/s208,https://www.govtrack.us/congress/votes/78-1944/s209,https://www.govtrack.us/congress/votes/78-1944/s210,https://www.govtrack.us/congress/votes/78-1944/s211,https://www.govtrack.us/congress/votes/78-1944/s212,https://www.govtrack.us/congress/votes/78-1944/s213,https://www.govtrack.us/congress/votes/78-1944/s214,https://www.govtrack.us/congress/votes/78-1944/s215,https://www.govtrack.us/congress/votes/78-1944/s216,https://www.govtrack.us/congress/votes/78-1944/s217,https://www.govtrack.us/congress/votes/78-1944/s218,https://www.govtrack.us/congress/votes/78-1944/s219,https://www.govtrack.us/congress/votes/78-1944/s220
"Sen. George Wilson [R, 1943-1948]",R,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.5,1.0,0.0,0.0,0.5,1.0,1.0,1.0,1.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,1.0,1.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"Sen. Rufus Holman [R, 1939-1944]",R,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5,1.0,1.0,0.5,1.0,1.0,0.5
"Sen. Henry “Styles” Bridges [R, 1937-1961]",R,1.0,1.0,0.0,0.0,1.0,0.5,0.5,0.5,0.5,1.0,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.0,0.0,0.5,0.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,0.5,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.0,0.0,0.5,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"Sen. William Langer [R, 1941-1959]",R,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.5,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.5,0.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sen. John Thomas [D, 1927-1950]",D,0.5,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,1.0,1.0,1.0,0.0,1.0,0.5,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0
"Sen. Harley Kilgore [D, 1941-1956]",D,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,1.0,0.5,1.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.0,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,1.0,1.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"Sen. Orrice “Abe” Murdock Jr. [D, 1941-1946]",D,0.5,0.5,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
"Sen. Robert Taft [R, 1939-1953]",R,1.0,0.5,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1.0,0.5,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.5,0.5,0.5,0.5,0.0,1.0,1.0,0.0,0.0,0.5,0.5,1.0,0.5,1.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
"Sen. Sheridan Downey [D, 1939-1950]",D,0.0,0.0,0.0,0.5,0.5,0.0,1.0,0.5,0.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.5,0.0,1.0,1.0,1.0,0.0,0.5,0.5,1.0,1.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,1.0,1.0,1.0,1.0,0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
"Sen. Joseph Guffey [D, 1935-1946]",D,0.0,0.5,1.0,0.0,1.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,1.0,1.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.0,0.0,0.5,1.0,0.0,0.5,0.5,0.5,0.0,1.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
